,latitude,longitude
118,-13.984000000000002,129.786
119,-14.847999999999999,135.261
120,-14.849,135.27100000000002
121,-14.853,135.045
122,-14.855,135.054
123,-14.868,135.08100000000002
124,-14.946,135.174
125,-14.981,135.03799999999998
126,-14.995999999999999,135.141
127,-14.994000000000002,135.065
128,-15.003,135.064
129,-15.007,135.025
130,-15.011,135.053
131,-15.012,135.062
132,-14.244000000000002,129.891
133,-14.247,129.906
134,-15.332,135.692
135,-15.357000000000001,135.738
136,-15.359000000000002,135.748
137,-15.36,135.75799999999998
138,-15.382,135.784
139,-15.384,135.79399999999998
140,-15.469000000000001,135.945
141,-15.47,135.955
142,-14.825999999999999,131.482
143,-15.499,135.961
144,-15.434000000000001,135.436
145,-15.435,135.446
146,-15.519,135.968
147,-15.546,135.97799999999998
148,-16.712,142.52200000000002
149,-16.739,142.634
150,-16.743,142.66299999999998
151,-16.711,142.516
152,-16.741,142.657
153,-16.804000000000002,142.68
154,-16.816,142.649
155,-16.819000000000003,142.678
156,-16.828,142.619
157,-16.815,142.643
158,-16.817999999999998,142.672
159,-16.845,142.639
160,-16.347,137.464
161,-16.355999999999998,137.451
162,-16.374000000000002,137.436
163,-16.389,137.476
164,-14.633,126.219
165,-14.639000000000001,126.24600000000001
166,-14.649000000000001,126.3
167,-14.642999999999999,126.189
168,-14.648,126.21600000000001
169,-14.652999999999999,126.244
170,-14.658,126.271
171,-14.663,126.29700000000001
172,-14.673,126.26799999999999
173,-14.677999999999999,126.295
174,-14.712,126.23299999999999
175,-14.731,126.34
176,-14.735999999999999,126.367
177,-14.673,126.262
178,-14.677999999999999,126.288
179,-14.712,126.227
180,-14.737,126.36
181,-14.745999999999999,126.331
182,-14.751,126.35799999999999
183,-14.720999999999998,126.111
184,-14.745999999999999,126.24799999999999
185,-14.751,126.27600000000001
186,-14.765999999999998,126.355
187,-14.78,126.353
188,-15.617,131.113
189,-15.616,131.04
190,-14.780999999999999,126.346
191,-15.715,130.83700000000002
192,-15.745,130.957
193,-15.735999999999999,130.834
194,-15.738,130.846
195,-15.745999999999999,130.832
196,-15.788,130.96200000000002
197,-15.785,130.95600000000002
198,-15.812999999999999,131.061
199,-16.824,137.768
200,-16.825,137.78
201,-16.836,137.779
202,-16.863,137.749
203,-16.873,137.767
204,-17.104,137.815
205,-17.105999999999998,137.828
206,-17.108,137.841
207,-17.113,137.80100000000002
208,-17.115,137.814
209,-17.116,137.826
210,-17.118,137.839
211,-17.121,137.865
212,-17.123,137.878
213,-17.123,137.799
214,-17.125,137.812
215,-17.134,137.877
216,-17.135,137.89
217,-17.136,137.811
218,-17.137,137.82399999999998
219,-17.148,137.822
220,-17.149,137.835
221,-17.16,137.834
222,-17.155,137.828
223,-17.156,137.841
224,-17.268,137.96
225,-17.27,137.97299999999998
226,-17.271,137.986
227,-17.264,137.968
228,-17.276,137.98
229,-17.291,138.018
230,-17.317999999999998,138.055
231,-17.319000000000003,138.069
232,-17.325,137.946
233,-17.35,138.05100000000002
234,-17.352,138.065
235,-17.393,138.012
236,-17.394000000000002,138.025
237,-17.403,138.01
238,-17.405,138.024
239,-17.407,138.037
240,-17.625999999999998,138.064
241,-17.649,138.041
242,-17.66,138.04
243,-17.669,138.025
244,-17.67,138.03799999999998
245,-17.736,138.04399999999998
246,-17.738,138.05700000000002
247,-17.741,138.05
248,-17.743,138.064
249,-17.752,138.048
250,-17.754,138.062
251,-17.049,130.17
252,-17.090999999999998,130.16299999999998
253,-17.09,130.096
254,-17.099,130.148
255,-17.101,130.161
256,-17.088,130.016
257,-17.099,130.082
258,-17.101,130.095
259,-17.105,130.12
260,-17.107,130.13299999999998
261,-17.109,130.14600000000002
262,-17.112000000000002,130.159
263,-17.098,130.014
264,-17.101,130.028
265,-17.114,130.106
266,-17.116,130.119
267,-17.118,130.132
268,-17.12,130.145
269,-17.111,130.026
270,-17.122,130.091
271,-17.124000000000002,130.10399999999998
272,-17.125999999999998,130.11700000000002
273,-17.128,130.13
274,-17.105,130.02
275,-17.116,130.085
276,-17.121,130.111
277,-17.123,130.124
278,-17.125,130.137
279,-17.116,130.018
280,-17.118,130.031
281,-17.12,130.04399999999998
282,-17.122,130.05700000000002
283,-17.129,130.096
284,-17.131,130.109
285,-17.13,130.043
286,-18.964000000000002,141.72899999999998
287,-18.967,141.756
288,-18.977999999999998,141.727
289,-18.965999999999998,141.72299999999998
290,-18.969,141.75
291,-18.980999999999998,141.722
292,-17.553,129.416
293,-17.555,129.431
294,-17.555999999999997,129.423
295,-17.784000000000002,127.46600000000001
296,-17.784000000000002,127.459
297,-18.392,127.11
298,-18.39,127.027
299,-18.442999999999998,127.1
300,-18.46,127.04799999999999
301,-18.464000000000002,127.068
302,-18.421,126.391
303,-18.419,126.40899999999999
304,-18.31,123.354
305,-18.319000000000003,123.31200000000001
306,-18.327,123.35
307,-18.32,123.23100000000001
308,-18.328,123.27
309,-18.336,123.30799999999999
310,-18.343,123.346
311,-18.337,123.227
312,-18.345,123.266
313,-18.352,123.304
314,-18.384,123.37700000000001
315,-18.392,123.415
316,-18.314,123.26700000000001
317,-18.322,123.305
318,-18.33,123.34299999999999
319,-18.323,123.225
320,-18.331,123.26299999999999
321,-18.339000000000002,123.302
322,-18.347,123.34
323,-18.372,123.374
324,-18.379,123.412
325,-18.387999999999998,123.37100000000001
326,-18.396,123.40799999999999
327,-19.616,123.72200000000001
